family,direction,operation,case_id,bytes,rows,cols,ventus_cycle_n,ventus_cycle_min,ventus_cycle_median,ventus_cycle_mean,ventus_cycle_max,h100_cycle_n,h100_cycle_min,h100_cycle_median,h100_cycle_mean,h100_cycle_max,b200_cycle_n,b200_cycle_min,b200_cycle_median,b200_cycle_mean,b200_cycle_max,ventus_minus_h100_cycles,ventus_over_h100,ventus_vs_h100_percent,ventus_minus_b200_cycles,ventus_over_b200,ventus_vs_b200_percent,b200_minus_h100_cycles,b200_over_h100,b200_vs_h100_percent
bulk,g2s,bulk_g2s,r1_c4,16,1,4,3,86,86,86.000000,86,27,507,507,509.222222,517,27,428,440,438.740741,469,-421,0.169625,-83.0375,-354,0.195455,-80.4545,-67,0.867850,-13.2150
bulk,s2g,bulk_s2g,r1_c4,16,1,4,3,56,56,56.000000,56,27,43,43,43.000000,43,27,43,43,43.000000,43,13,1.302326,30.2326,13,1.302326,30.2326,0,1.000000,0.0000
bulk.tensor,g2s,tensor_g2s,r1_c4,16,1,4,3,119,119,119.000000,119,27,628,628,632.888889,650,27,439,577,558.111111,589,-509,0.189490,-81.0510,-458,0.206239,-79.3761,-51,0.918790,-8.1210
bulk.tensor,s2g,tensor_s2g,r1_c4,16,1,4,3,88,88,88.000000,88,27,86,86,86.000000,86,27,90,90,90.000000,90,2,1.023256,2.3256,-2,0.977778,-2.2222,4,1.046512,4.6512
bulk,g2s,bulk_g2s,r4_c4,64,4,4,3,86,86,86.000000,86,27,507,507,509.222222,517,27,428,440,438.518519,469,-421,0.169625,-83.0375,-354,0.195455,-80.4545,-67,0.867850,-13.2150
bulk,s2g,bulk_s2g,r4_c4,64,4,4,3,56,56,56.000000,56,27,43,43,43.000000,43,27,43,43,43.000000,43,13,1.302326,30.2326,13,1.302326,30.2326,0,1.000000,0.0000
bulk.tensor,g2s,tensor_g2s,r4_c4,64,4,4,3,119,119,119.000000,119,27,628,628,632.888889,650,27,439,577,551.666667,589,-509,0.189490,-81.0510,-458,0.206239,-79.3761,-51,0.918790,-8.1210
bulk.tensor,s2g,tensor_s2g,r4_c4,64,4,4,3,88,88,88.000000,88,27,92,92,92.000000,92,27,93,93,93.000000,93,-4,0.956522,-4.3478,-5,0.946237,-5.3763,1,1.010870,1.0870
bulk,g2s,bulk_g2s,r4_c16,256,4,16,3,88,88,88.000000,88,27,507,507,509.222222,517,27,428,440,438.444444,467,-419,0.173570,-82.6430,-352,0.200000,-80.0000,-67,0.867850,-13.2150
bulk,s2g,bulk_s2g,r4_c16,256,4,16,3,58,58,58.000000,58,27,51,51,51.000000,51,27,51,51,51.000000,51,7,1.137255,13.7255,7,1.137255,13.7255,0,1.000000,0.0000
bulk.tensor,g2s,tensor_g2s,r4_c16,256,4,16,3,121,121,121.000000,121,27,628,628,632.888889,650,27,439,577,530.777778,589,-507,0.192675,-80.7325,-456,0.209705,-79.0295,-51,0.918790,-8.1210
bulk.tensor,s2g,tensor_s2g,r4_c16,256,4,16,3,90,90,90.000000,90,27,93,93,93.000000,93,27,98,98,98.000000,98,-3,0.967742,-3.2258,-8,0.918367,-8.1633,5,1.053763,5.3763
bulk,g2s,bulk_g2s,r16_c16,1024,16,16,3,108,108,108.000000,108,27,507,507,509.666667,521,27,428,440,437.888889,465,-399,0.213018,-78.6982,-332,0.245455,-75.4545,-67,0.867850,-13.2150
bulk,s2g,bulk_s2g,r16_c16,1024,16,16,3,70,70,70.000000,70,27,75,75,75.000000,75,27,75,75,75.000000,75,-5,0.933333,-6.6667,-5,0.933333,-6.6667,0,1.000000,0.0000
bulk.tensor,g2s,tensor_g2s,r16_c16,1024,16,16,3,141,141,141.000000,141,27,628,628,633.037037,650,27,451,589,582.555556,601,-487,0.224522,-77.5478,-448,0.239389,-76.0611,-39,0.937898,-6.2102
bulk.tensor,s2g,tensor_s2g,r16_c16,1024,16,16,3,102,102,102.000000,102,27,117,117,117.000000,117,27,122,122,122.000000,122,-15,0.871795,-12.8205,-20,0.836066,-16.3934,5,1.042735,4.2735
bulk,g2s,bulk_g2s,r32_c32,4096,32,32,3,192,192,192.000000,192,27,507,507,509.222222,517,27,578,590,587.444444,615,-315,0.378698,-62.1302,-398,0.325424,-67.4576,83,1.163708,16.3708
bulk,s2g,bulk_s2g,r32_c32,4096,32,32,3,161,161,161.000000,161,27,171,171,171.000000,171,27,171,171,171.000000,171,-10,0.941520,-5.8480,-10,0.941520,-5.8480,0,1.000000,0.0000
bulk.tensor,g2s,tensor_g2s,r32_c32,4096,32,32,3,225,225,225.000000,225,27,628,628,632.962963,650,27,577,577,583.222222,601,-403,0.358280,-64.1720,-352,0.389948,-61.0052,-51,0.918790,-8.1210
bulk.tensor,s2g,tensor_s2g,r32_c32,4096,32,32,3,188,188,188.000000,188,27,215,215,215.000000,215,27,220,220,220.000000,220,-27,0.874419,-12.5581,-32,0.854545,-14.5455,5,1.023256,2.3256
