family,direction,case_id,bytes,rank,layout,h100_samples,h100_min,h100_median,h100_max,b200_samples,b200_median,ventus_samples,ventus_cycle,ventus_minus_h100,ventus_over_h100
capacity,g2s,size_128,128,2,contiguous,6,460,460,470,6,461,1,123,-337,0.267391
capacity,roundtrip,size_128,128,2,contiguous,6,553,553,605,6,568,1,194,-359,0.350814
capacity,s2g,size_128,128,2,contiguous,6,62,62,104,6,93,1,88,26,1.419355
capacity,g2s,size_256,256,2,contiguous,6,460,464,470,6,461,1,125,-339,0.269397
capacity,roundtrip,size_256,256,2,contiguous,6,557,557,609,6,572,1,198,-359,0.355476
capacity,s2g,size_256,256,2,contiguous,6,66,66,108,6,97,1,90,24,1.363636
capacity,g2s,size_512,512,2,contiguous,6,460,460,470,6,461,1,129,-331,0.280435
capacity,roundtrip,size_512,512,2,contiguous,6,565,565,617,6,580,1,206,-359,0.364602
capacity,s2g,size_512,512,2,contiguous,6,74,74,116,6,105,1,94,20,1.270270
capacity,g2s,size_1024,1024,2,contiguous,6,460,460,470,6,461,1,145,-315,0.315217
capacity,roundtrip,size_1024,1024,2,contiguous,6,581,581,635,6,596,1,248,-333,0.426850
capacity,s2g,size_1024,1024,2,contiguous,6,90,90,132,6,121,1,120,30,1.333333
capacity,g2s,size_2048,2048,2,contiguous,6,460,460,470,6,461,1,173,-287,0.376087
capacity,roundtrip,size_2048,2048,2,contiguous,6,613,613,665,6,628,1,315,-298,0.513866
capacity,s2g,size_2048,2048,2,contiguous,6,122,122,164,6,153,1,159,37,1.303279
capacity,g2s,size_4096,4096,2,contiguous,6,460,460,470,6,461,1,229,-231,0.497826
capacity,roundtrip,size_4096,4096,2,contiguous,6,677,678.500,729,6,692,1,414,-264.500,0.610169
capacity,s2g,size_4096,4096,2,contiguous,6,186,186,228,6,217,1,202,16,1.086022
capacity,g2s,size_8192,8192,2,contiguous,6,608,608,618,6,609,1,341,-267,0.560855
capacity,roundtrip,size_8192,8192,2,contiguous,6,805,805,1005,6,820,1,639,-166,0.793789
capacity,s2g,size_8192,8192,2,contiguous,6,314,314,356,6,345,1,315,1,1.003185
capacity,g2s,size_16384,16384,2,contiguous,6,608,608,618,6,609,1,565,-43,0.929276
capacity,roundtrip,size_16384,16384,2,contiguous,6,1209,1209,1261,6,1224,1,1071,-138,0.885856
capacity,s2g,size_16384,16384,2,contiguous,6,570,570,612,6,601,1,523,-47,0.917544
capacity,g2s,size_32768,32768,2,contiguous,6,756,756,766,6,759,1,1013,257,1.339947
capacity,roundtrip,size_32768,32768,2,contiguous,6,1869,1869,1923,6,1884,1,1935,66,1.035313
capacity,s2g,size_32768,32768,2,contiguous,6,1082,1082,1124,6,1113,1,939,-143,0.867837
interleave,roundtrip,interleave16_u16,4096,3,interleave16_u16,6,678,681,730,6,693,1,422,-259,0.619677
oob,g2s,oob_100,4096,2,oob100,6,460,460,460,6,461,1,146,-314,0.317391
oob,g2s,oob_25,4096,2,oob25,6,460,460,608,6,461,1,229,-231,0.497826
oob,g2s,oob_50,4096,2,oob50,6,460,460,608,6,558,1,229,-231,0.497826
rank_stride,g2s,rank1_contiguous,128,1,contiguous,6,460,460,478,6,461,1,120,-340,0.260870
rank_stride,g2s,rank2_contiguous,4096,2,contiguous,6,460,460,470,6,461,1,229,-231,0.497826
rank_stride,g2s,rank2_row_stride2,4096,2,row_stride2,6,460,460,618,6,461,1,229,-231,0.497826
rank_stride,g2s,rank3_contiguous,4096,3,contiguous,6,460,460,471,6,461,1,232,-228,0.504348
rank_stride,g2s,rank4_contiguous,4096,4,contiguous,6,460,460,472,6,461,1,235,-225,0.510870
rank_stride,g2s,rank5_contiguous,4096,5,contiguous,6,460,460,620,6,461,1,238,-222,0.517391
swizzle,roundtrip,swizzle128,4096,2,swizzle128,6,677,677.500,719,6,692,1,414,-263.500,0.611070
swizzle,roundtrip,swizzle32,4096,2,swizzle32,6,822,822,874,6,837,1,414,-408,0.503650
swizzle,roundtrip,swizzle64,4096,2,swizzle64,6,675,675,727,6,690,1,414,-261,0.613333
tile,g2s,tile_16x16,1024,2,contiguous,6,460,460,470,6,461,1,145,-315,0.315217
tile,roundtrip,tile_16x16,1024,2,contiguous,6,579,579,631,6,594,1,248,-331,0.428325
tile,s2g,tile_16x16,1024,2,contiguous,6,88,88,130,6,119,1,120,32,1.363636
tile,g2s,tile_32x16,2048,2,contiguous,6,460,462,470,6,461.500,1,173,-289,0.374459
tile,roundtrip,tile_32x16,2048,2,contiguous,6,611,611,663,6,626,1,315,-296,0.515548
tile,s2g,tile_32x16,2048,2,contiguous,6,120,120,162,6,151,1,159,39,1.325000
tile,g2s,tile_32x32,4096,2,contiguous,6,460,460,470,6,461,1,229,-231,0.497826
tile,roundtrip,tile_32x32,4096,2,contiguous,6,677,678.500,729,6,692,1,414,-264.500,0.610169
tile,s2g,tile_32x32,4096,2,contiguous,6,186,186,228,6,217,1,202,16,1.086022
tile,g2s,tile_64x32,8192,2,contiguous,6,608,608,618,6,609,1,341,-267,0.560855
tile,roundtrip,tile_64x32,8192,2,contiguous,6,805,805.500,1005,6,820,1,639,-166.500,0.793296
tile,s2g,tile_64x32,8192,2,contiguous,6,314,314,356,6,345,1,315,1,1.003185
tile,g2s,tile_64x64,16384,2,contiguous,6,608,608,618,6,609,1,565,-43,0.929276
tile,roundtrip,tile_64x64,16384,2,contiguous,6,1209,1209,1261,6,1224,1,1071,-138,0.885856
tile,s2g,tile_64x64,16384,2,contiguous,6,570,570,612,6,601,1,523,-47,0.917544
