family,case_id,bytes,outstanding,maps,prefetch,h100_samples,h100_min,h100_median,h100_max,b200_samples,b200_median,ventus_samples,ventus_cycle,ventus_minus_h100,ventus_over_h100
descriptor,maps_1024_pf0,4096,1,1024,0,18,703,703,1147,18,687,0,,,
descriptor,maps_1024_pf1,4096,1,1024,1,18,703,705.500,1147,18,690.500,0,,,
descriptor,maps_16_pf0,4096,1,16,0,18,851,851,1147,18,687,1,236,-615,0.277321
descriptor,maps_16_pf1,4096,1,16,1,18,851,851,1147,18,687,1,222,-629,0.260870
descriptor,maps_1_pf0,4096,1,1,0,18,703,703,1158,18,687,1,236,-467,0.335704
descriptor,maps_1_pf1,4096,1,1,1,18,703,703,1147,18,687,1,222,-481,0.315789
descriptor,maps_256_pf0,4096,1,256,0,18,703,703,1147,18,1131,1,236,-467,0.335704
descriptor,maps_256_pf1,4096,1,256,1,18,703,703,1147,18,983,1,222,-481,0.315789
descriptor,maps_4_pf0,4096,1,4,0,18,703,703,1147,18,687,1,236,-467,0.335704
descriptor,maps_4_pf1,4096,1,4,1,18,703,703,1147,18,687,1,222,-481,0.315789
descriptor,maps_64_pf0,4096,1,64,0,18,703,851,1147,18,1131,1,236,-615,0.277321
descriptor,maps_64_pf1,4096,1,64,1,18,703,851,1147,18,983,1,222,-629,0.260870
outstanding,outstanding_1,4096,1,1,0,18,897,899.500,1280,18,916,1,260,-639.500,0.289049
outstanding,outstanding_2,4096,2,1,0,18,891,891,1191,18,1049,0,,,
outstanding,outstanding_4,4096,4,1,0,18,1183,1183,1483,18,1199,0,,,
outstanding,outstanding_8,4096,8,1,0,18,1465,1465,1859,18,1621,0,,,
