direction,method,case_id,bytes,outstanding,ctas,samples,min,median,max
g2s,cooperative128,unique_16384_1cta,16384,1,1,6,461,461,965
g2s,cooperative128,unique_16384_1xsm,16384,1,132,6,461,461,1171
g2s,cooperative128,unique_16384_2xsm,16384,1,264,6,670,684,1637
g2s,cooperative128,unique_16384_4xsm,16384,1,528,6,1096,1173,2631
g2s,cooperative128,unique_32768_1cta,32768,1,1,6,1700,1714.500,1741
g2s,cooperative128,unique_32768_1xsm,32768,1,132,6,1759,1781.500,2011
g2s,cooperative128,unique_32768_2xsm,32768,1,264,6,2553,2710,2854
g2s,cooperative128,unique_32768_4xsm,32768,1,528,6,4191,4480,4877
g2s,cooperative128,unique_4096_1cta,4096,1,1,6,210,210,752
g2s,cooperative128,unique_4096_1xsm,4096,1,132,6,210,210,787
g2s,cooperative128,unique_4096_2xsm,4096,1,264,6,240,242,834
g2s,cooperative128,unique_4096_4xsm,4096,1,528,6,269,297.500,913
g2s,cooperative32,unique_16384_1cta,16384,1,1,6,836,836,3005
g2s,cooperative32,unique_16384_1xsm,16384,1,132,6,836,836,3059
g2s,cooperative32,unique_16384_2xsm,16384,1,264,6,2944,2978.500,3142
g2s,cooperative32,unique_16384_4xsm,16384,1,528,6,3201,3293.500,3453
g2s,cooperative32,unique_32768_1cta,32768,1,1,6,5713,5760.500,5779
g2s,cooperative32,unique_32768_1xsm,32768,1,132,6,5741,5769.500,5876
g2s,cooperative32,unique_32768_2xsm,32768,1,264,6,5834,5871,5975
g2s,cooperative32,unique_32768_4xsm,32768,1,528,6,6157,6233.500,6561
g2s,cooperative32,unique_4096_1cta,4096,1,1,6,344,344,884
g2s,cooperative32,unique_4096_1xsm,4096,1,132,6,344,344,939
g2s,cooperative32,unique_4096_2xsm,4096,1,264,6,347,348,976
g2s,cooperative32,unique_4096_4xsm,4096,1,528,6,360,362.500,1057
g2s,tma,outstanding_1,4096,1,1,6,506,507.500,526
g2s,tma,outstanding_2,4096,2,1,6,646,646,751
g2s,tma,outstanding_4,4096,4,1,6,1050,1050,1136
g2s,tma,outstanding_8,4096,8,1,6,1951,1951,2010
g2s,tma,unique_16384_1cta,16384,1,1,6,608,608,618
g2s,tma,unique_16384_1xsm,16384,1,132,6,692,775,984
g2s,tma,unique_16384_2xsm,16384,1,264,6,965,1026.500,1388
g2s,tma,unique_16384_4xsm,16384,1,528,6,2018,2042.500,2151
g2s,tma,unique_32768_1cta,32768,1,1,6,756,756,766
g2s,tma,unique_32768_1xsm,32768,1,132,6,1090,1292,1596
g2s,tma,unique_32768_2xsm,32768,1,264,6,1941,2326,2410
g2s,tma,unique_32768_4xsm,32768,1,528,6,3604,4030,4259
g2s,tma,unique_4096_1cta,4096,1,1,6,460,460,470
g2s,tma,unique_4096_1xsm,4096,1,132,6,478,524,607
g2s,tma,unique_4096_2xsm,4096,1,264,6,569,575.500,688
g2s,tma,unique_4096_4xsm,4096,1,528,6,594,610.500,869
overlap,compute_only,overlap_4k,4096,1,1,6,28739,28739,28739
overlap,tma_overlap,overlap_4k,4096,1,1,6,28917,28917,28929
overlap,tma_serial,overlap_4k,4096,1,1,6,29176,29176,29244
