direction,case_id,bytes,v3_0_cycles,v3_1_cycles,v3_0_over_v3_1,h100_median_cycles,b200_median_cycles,gate,gate_pass,compiled_hits,compiled_misses,descriptor_compiles,compile_cycles,bind_cycles,planner_produced,planner_fire,planner_stalls,max_windows,max_requests,max_shared,max_acks,window_rob_full_cycles,global_request_full_cycles,shared_queue_full_cycles,longest_window_fire_run,cache_request_stalls,ack_count,ack_latency_sum,ack_full_stalls,g2s_response_count,g2s_response_latency_sum,s2g_response_count,s2g_response_latency_sum
g2s,size_128,128,123,133,0.924812,460,461,V3.1 <= 1.10 * V3.0,True,0,2,2,18,4,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,2,26,0,0
s2g,size_128,128,88,97,0.907216,62,93,V3.1 <= 1.10 * V3.0,False,0,2,2,18,4,2,2,0,1,1,1,1,0,0,0,1,0,2,26,0,0,0,2,26
roundtrip,size_128,128,194,213,0.910798,553,568,V3.1 <= 1.10 * V3.0,True,0,4,4,36,8,4,4,0,1,1,1,1,0,0,0,1,0,2,26,0,2,26,2,26
g2s,size_1024,1024,145,147,0.986395,460,461,,,0,2,2,18,4,16,16,0,8,8,2,0,0,0,0,8,0,0,0,0,16,264,0,0
s2g,size_1024,1024,120,129,0.930233,90,121,,,0,2,2,18,4,16,16,0,8,4,4,8,0,0,0,8,21,16,291,0,0,0,16,291
roundtrip,size_1024,1024,248,259,0.957529,581,596,,,0,4,4,36,8,32,32,0,8,8,4,8,0,0,0,8,21,16,291,0,16,264,16,291
g2s,size_4096,4096,229,208,1.100962,460,461,speedup >= 1.3x,False,0,2,2,18,4,64,64,28,24,16,2,0,30,50,0,24,28,0,0,0,64,1922,0,0
s2g,size_4096,4096,202,201,1.004975,186,217,speedup >= 1.3x,False,0,2,2,18,4,64,64,9,24,16,4,20,9,17,0,32,60,64,2112,0,0,0,64,2112
roundtrip,size_4096,4096,414,392,1.056122,678.500,692,speedup >= 1.3x,False,0,4,4,36,8,128,128,37,24,16,4,20,39,67,0,32,88,64,2112,0,64,1922,64,2112
g2s,size_16384,16384,565,447,1.263982,608,609,speedup >= 1.7x,False,0,2,2,18,4,256,256,310,24,16,2,0,314,334,0,24,36,0,0,0,256,9354,0,0
s2g,size_16384,16384,523,501,1.043912,570,601,speedup >= 1.7x,False,0,2,2,18,4,256,256,263,24,16,4,32,269,298,0,52,143,256,18811,244,0,0,256,18811
roundtrip,size_16384,16384,1071,931,1.150376,1209,1224,,,0,4,4,36,8,512,512,573,24,16,4,32,583,632,0,52,179,256,18811,244,256,9354,256,18811
g2s,size_32768,32768,1013,767,1.320730,756,759,speedup >= 1.7x,False,0,2,2,18,4,512,512,696,24,16,2,0,698,718,0,24,36,0,0,0,512,19338,0,0
s2g,size_32768,32768,939,881,1.065834,1082,1113,speedup >= 1.7x,False,0,2,2,18,4,512,512,780,24,16,4,32,784,808,0,52,143,512,43231,766,0,0,512,43231
roundtrip,size_32768,32768,1935,1631,1.186389,1869,1884,,,0,4,4,36,8,1024,1024,1476,24,16,4,32,1482,1526,0,52,179,512,43231,766,512,19338,512,43231
