family,direction,operation,case_id,bytes,v3_0_cycles,v3_1_cycles,v3_0_over_v3_1,h100_median_cycles,b200_median_cycles,v3_1_over_h100,v3_1_over_b200
bulk,g2s,bulk_g2s,r1_c4,16,86,86,1.000000,507,440,0.169625,0.195455
bulk,s2g,bulk_s2g,r1_c4,16,56,55,1.018182,43,43,1.279070,1.279070
bulk.tensor,g2s,tensor_g2s,r1_c4,16,119,129,0.922481,628,577,0.205414,0.223570
bulk.tensor,s2g,tensor_s2g,r1_c4,16,88,97,0.907216,86,90,1.127907,1.077778
bulk,g2s,bulk_g2s,r4_c4,64,86,86,1.000000,507,440,0.169625,0.195455
bulk,s2g,bulk_s2g,r4_c4,64,56,55,1.018182,43,43,1.279070,1.279070
bulk.tensor,g2s,tensor_g2s,r4_c4,64,119,129,0.922481,628,577,0.205414,0.223570
bulk.tensor,s2g,tensor_s2g,r4_c4,64,88,97,0.907216,92,93,1.054348,1.043011
bulk,g2s,bulk_g2s,r4_c16,256,88,88,1.000000,507,440,0.173570,0.200000
bulk,s2g,bulk_s2g,r4_c16,256,58,57,1.017544,51,51,1.117647,1.117647
bulk.tensor,g2s,tensor_g2s,r4_c16,256,121,131,0.923664,628,577,0.208599,0.227036
bulk.tensor,s2g,tensor_s2g,r4_c16,256,90,99,0.909091,93,98,1.064516,1.010204
bulk,g2s,bulk_g2s,r16_c16,1024,108,100,1.080000,507,440,0.197239,0.227273
bulk,s2g,bulk_s2g,r16_c16,1024,70,69,1.014493,75,75,0.920000,0.920000
bulk.tensor,g2s,tensor_g2s,r16_c16,1024,141,143,0.986014,628,589,0.227707,0.242784
bulk.tensor,s2g,tensor_s2g,r16_c16,1024,102,111,0.918919,117,122,0.948718,0.909836
bulk,g2s,bulk_g2s,r32_c32,4096,192,161,1.192547,507,590,0.317554,0.272881
bulk,s2g,bulk_s2g,r32_c32,4096,161,146,1.102740,171,171,0.853801,0.853801
bulk.tensor,g2s,tensor_g2s,r32_c32,4096,225,204,1.102941,628,577,0.324841,0.353553
bulk.tensor,s2g,tensor_s2g,r32_c32,4096,188,189,0.994709,215,220,0.879070,0.859091
