direction,bytes,lines_128b,measured_cycles,active_command_cycles,non_active_fixed_cycles,planner_fire,planner_stall_cycles,longest_window_fire_run,max_transfer_slots,max_global_requests,max_shared_tags,max_write_acks,full_slot_cycles,full_request_cycles,full_shared_cycles,transform_stall_cycles,cache_or_ack_latency_sum,cache_or_ack_latency_per_line,ack_full_stall_cycles,cache_port_stall_cycles
g2s,128,1,131,28,103,1,0,1,1,1,1,0,0,0,0,0,13,13.0,0,0
s2g,128,1,96,28,68,1,0,1,1,1,1,1,0,0,0,0,13,13.0,0,0
g2s,1024,8,145,42,103,8,0,8,8,8,2,0,0,0,0,0,132,16.5,0,0
s2g,1024,8,128,60,68,8,0,8,8,4,3,5,0,0,0,0,159,19.875,0,21
g2s,4096,32,206,103,103,32,8,24,24,16,2,0,9,25,0,0,961,30.0312,0,14
s2g,4096,32,200,132,68,32,5,31,24,16,3,16,5,17,0,0,882,27.5625,0,46
g2s,16384,128,445,342,103,128,149,24,24,16,2,0,151,167,0,0,4677,36.5391,0,18
s2g,16384,128,492,424,68,128,131,31,24,16,3,32,132,152,0,0,9071,70.8672,108,87
g2s,32768,256,765,662,103,256,342,24,24,16,2,0,343,359,0,0,9669,37.7695,0,18
s2g,32768,256,878,810,68,256,385,31,24,16,3,32,391,404,0,0,21461,83.832,373,87
