direction,bytes,v3_2_cycles,v3_3_cycles,delta_cycles,delta_percent,allowed_cycles,rule,passed
g2s,128,133,131,-2,-1.5038,136,"V3.3 <= V3.2 + max(2 cycles, 2%)",true
s2g,128,97,96,-1,-1.0309,99,"V3.3 <= V3.2 + max(2 cycles, 2%)",true
roundtrip,128,213,210,-3,-1.4085,218,"V3.3 <= V3.2 + max(2 cycles, 2%)",true
g2s,1024,147,145,-2,-1.3605,149,V3.3 <= 1.02 * V3.2,true
s2g,1024,129,128,-1,-0.7752,131,V3.3 <= 1.02 * V3.2,true
roundtrip,1024,259,256,-3,-1.1583,264,V3.3 <= 1.02 * V3.2,true
g2s,4096,208,206,-2,-0.9615,212,V3.3 <= 1.02 * V3.2,true
s2g,4096,201,200,-1,-0.4975,205,V3.3 <= 1.02 * V3.2,true
roundtrip,4096,392,389,-3,-0.7653,399,V3.3 <= 1.02 * V3.2,true
g2s,16384,447,445,-2,-0.4474,447,V3.3 <= V3.2,true
s2g,16384,501,492,-9,-1.7964,501,V3.3 <= V3.2,true
roundtrip,16384,931,920,-11,-1.1815,931,V3.3 <= V3.2,true
g2s,32768,767,765,-2,-0.2608,767,V3.3 <= V3.2; absolute <= 767,true
s2g,32768,881,878,-3,-0.3405,881,V3.3 <= V3.2; absolute <= 881,true
roundtrip,32768,1631,1626,-5,-0.3066,1631,V3.3 <= V3.2; absolute <= 1631,true
