family,direction,case_id,v3_2_cycles,v3_3_cycles,v3_3_vs_v3_2_percent,h100_median_cycles,b200_median_cycles
bulk,g2s,r16_c16,100,97,-3.0,507,440
bulk,g2s,r1_c4,86,83,-3.4884,507,440
bulk,g2s,r32_c32,161,158,-1.8634,507,590
bulk,g2s,r4_c16,88,85,-3.4091,507,440
bulk,g2s,r4_c4,86,83,-3.4884,507,440
bulk,s2g,r16_c16,69,67,-2.8986,75,75
bulk,s2g,r1_c4,55,53,-3.6364,43,43
bulk,s2g,r32_c32,146,145,-0.6849,171,171
bulk,s2g,r4_c16,57,55,-3.5088,51,51
bulk,s2g,r4_c4,55,53,-3.6364,43,43
bulk.tensor,g2s,r16_c16,143,141,-1.3986,628,589
bulk.tensor,g2s,r1_c4,129,127,-1.5504,628,577
bulk.tensor,g2s,r32_c32,204,202,-0.9804,628,577
bulk.tensor,g2s,r4_c16,131,129,-1.5267,628,577
bulk.tensor,g2s,r4_c4,129,127,-1.5504,628,577
bulk.tensor,s2g,r16_c16,111,110,-0.9009,117,122
bulk.tensor,s2g,r1_c4,97,96,-1.0309,86,90
bulk.tensor,s2g,r32_c32,189,188,-0.5291,215,220
bulk.tensor,s2g,r4_c16,99,98,-1.0101,93,98
bulk.tensor,s2g,r4_c4,97,96,-1.0309,92,93
