direction,bytes,max_transfer_slots,max_global_requests,max_shared_tags,max_write_acks
g2s,128,1,1,1,0
s2g,128,1,1,1,1
roundtrip,128,1,1,1,1
g2s,256,2,2,2,0
s2g,256,2,1,2,2
roundtrip,256,2,2,2,2
g2s,512,4,4,2,0
s2g,512,4,1,3,4
roundtrip,512,4,4,3,4
g2s,1024,8,8,2,0
s2g,1024,8,4,3,8
roundtrip,1024,8,8,3,8
g2s,2048,16,16,2,0
s2g,2048,12,12,3,13
roundtrip,2048,16,16,3,13
g2s,4096,24,16,2,0
s2g,4096,24,16,3,20
roundtrip,4096,24,16,3,20
g2s,8192,24,16,2,0
s2g,8192,24,16,3,32
roundtrip,8192,24,16,3,32
g2s,16384,24,16,2,0
s2g,16384,24,16,3,32
roundtrip,16384,24,16,3,32
g2s,32768,24,16,2,0
s2g,32768,24,16,3,32
roundtrip,32768,24,16,3,32
