direction,bytes,v3_3_cycles,v3_4_cycles,delta_cycles,delta_percent,allowed_cycles,passed
g2s,128,131,128,-3,-2.2901,131,true
s2g,128,96,92,-4,-4.1667,96,true
roundtrip,128,210,203,-7,-3.3333,210,true
g2s,1024,145,142,-3,-2.069,145,true
s2g,1024,128,124,-4,-3.125,128,true
roundtrip,1024,256,249,-7,-2.7344,256,true
g2s,4096,206,203,-3,-1.4563,206,true
s2g,4096,200,196,-4,-2.0,200,true
roundtrip,4096,389,382,-7,-1.7995,389,true
g2s,8192,285,279,-6,-2.1053,285,true
s2g,8192,300,296,-4,-1.3333,300,true
roundtrip,8192,568,558,-10,-1.7606,568,true
g2s,16384,445,411,-34,-7.6404,445,true
s2g,16384,492,488,-4,-0.813,492,true
roundtrip,16384,920,882,-38,-4.1304,920,true
g2s,32768,765,675,-90,-11.7647,765,true
s2g,32768,878,874,-4,-0.4556,878,true
roundtrip,32768,1626,1532,-94,-5.7811,1626,true
