family,direction,case_id,v3_3_cycles,v3_4_cycles,delta_cycles,delta_percent,h100_median_cycles,b200_median_cycles,passed
bulk,g2s,r16_c16,97,95,-2,-2.0619,507,440,true
bulk,g2s,r1_c4,83,81,-2,-2.4096,507,440,true
bulk,g2s,r32_c32,158,156,-2,-1.2658,507,590,true
bulk,g2s,r4_c16,85,83,-2,-2.3529,507,440,true
bulk,g2s,r4_c4,83,81,-2,-2.4096,507,440,true
bulk,s2g,r16_c16,67,65,-2,-2.9851,75,75,true
bulk,s2g,r1_c4,53,50,-3,-5.6604,43,43,true
bulk,s2g,r32_c32,145,143,-2,-1.3793,171,171,true
bulk,s2g,r4_c16,55,52,-3,-5.4545,51,51,true
bulk,s2g,r4_c4,53,50,-3,-5.6604,43,43,true
bulk.tensor,g2s,r16_c16,141,138,-3,-2.1277,628,589,true
bulk.tensor,g2s,r1_c4,127,124,-3,-2.3622,628,577,true
bulk.tensor,g2s,r32_c32,202,199,-3,-1.4851,628,577,true
bulk.tensor,g2s,r4_c16,129,126,-3,-2.3256,628,577,true
bulk.tensor,g2s,r4_c4,127,124,-3,-2.3622,628,577,true
bulk.tensor,s2g,r16_c16,110,106,-4,-3.6364,117,122,true
bulk.tensor,s2g,r1_c4,96,92,-4,-4.1667,86,90,true
bulk.tensor,s2g,r32_c32,188,184,-4,-2.1277,215,220,true
bulk.tensor,s2g,r4_c16,98,94,-4,-4.0816,93,98,true
bulk.tensor,s2g,r4_c4,96,92,-4,-4.1667,92,93,true
