direction,bytes,h100_median_cycles,b200_median_cycles,v3_4_cycles,v3_4_minus_h100,v3_4_over_h100,v3_4_minus_b200,v3_4_over_b200
g2s,128,460.0,461.0,128,-332.0,0.278261,-333.0,0.277657
roundtrip,128,553.0,568.0,203,-350.0,0.367089,-365.0,0.357394
s2g,128,62.0,93.0,92,30.0,1.483871,-1.0,0.989247
g2s,256,464.0,461.0,130,-334.0,0.280172,-331.0,0.281996
roundtrip,256,557.0,572.0,207,-350.0,0.371634,-365.0,0.361888
s2g,256,66.0,97.0,94,28.0,1.424242,-3.0,0.969072
g2s,512,460.0,461.0,134,-326.0,0.291304,-327.0,0.290672
roundtrip,512,565.0,580.0,215,-350.0,0.380531,-365.0,0.37069
s2g,512,74.0,105.0,98,24.0,1.324324,-7.0,0.933333
g2s,1024,460.0,461.0,142,-318.0,0.308696,-319.0,0.308026
roundtrip,1024,581.0,596.0,249,-332.0,0.428571,-347.0,0.417785
s2g,1024,90.0,121.0,124,34.0,1.377778,3.0,1.024793
g2s,2048,460.0,461.0,165,-295.0,0.358696,-296.0,0.357918
roundtrip,2048,613.0,628.0,294,-319.0,0.479608,-334.0,0.468153
s2g,2048,122.0,153.0,146,24.0,1.196721,-7.0,0.954248
g2s,4096,460.0,461.0,203,-257.0,0.441304,-258.0,0.440347
roundtrip,4096,678.5,692.0,382,-296.5,0.563007,-310.0,0.552023
s2g,4096,186.0,217.0,196,10.0,1.053763,-21.0,0.903226
g2s,8192,608.0,609.0,279,-329.0,0.458882,-330.0,0.458128
roundtrip,8192,805.0,820.0,558,-247.0,0.693168,-262.0,0.680488
s2g,8192,314.0,345.0,296,-18.0,0.942675,-49.0,0.857971
g2s,16384,608.0,609.0,411,-197.0,0.675987,-198.0,0.674877
roundtrip,16384,1209.0,1224.0,882,-327.0,0.729529,-342.0,0.720588
s2g,16384,570.0,601.0,488,-82.0,0.85614,-113.0,0.81198
g2s,32768,756.0,759.0,675,-81.0,0.892857,-84.0,0.889328
roundtrip,32768,1869.0,1884.0,1532,-337.0,0.81969,-352.0,0.813163
s2g,32768,1082.0,1113.0,874,-208.0,0.807763,-239.0,0.785265
