direction,case_id,bytes,v3_4_cycles,v3_5_cycles,delta_cycles,delta_percent,allowed_cycles,passed
g2s,size_1024,1024,142,142,0,0.0,142,true
g2s,size_128,128,128,128,0,0.0,128,true
g2s,size_16384,16384,411,411,0,0.0,411,true
g2s,size_2048,2048,165,165,0,0.0,165,true
g2s,size_256,256,130,130,0,0.0,130,true
g2s,size_32768,32768,675,675,0,0.0,675,true
g2s,size_4096,4096,203,203,0,0.0,203,true
g2s,size_512,512,134,134,0,0.0,134,true
g2s,size_8192,8192,279,279,0,0.0,279,true
roundtrip,size_1024,1024,249,249,0,0.0,249,true
roundtrip,size_128,128,203,203,0,0.0,203,true
roundtrip,size_16384,16384,882,882,0,0.0,882,true
roundtrip,size_2048,2048,294,294,0,0.0,294,true
roundtrip,size_256,256,207,207,0,0.0,207,true
roundtrip,size_32768,32768,1532,1532,0,0.0,1532,true
roundtrip,size_4096,4096,382,382,0,0.0,382,true
roundtrip,size_512,512,215,215,0,0.0,215,true
roundtrip,size_8192,8192,558,558,0,0.0,558,true
s2g,size_1024,1024,124,124,0,0.0,124,true
s2g,size_128,128,92,92,0,0.0,92,true
s2g,size_16384,16384,488,488,0,0.0,488,true
s2g,size_2048,2048,146,146,0,0.0,146,true
s2g,size_256,256,94,94,0,0.0,94,true
s2g,size_32768,32768,874,874,0,0.0,874,true
s2g,size_4096,4096,196,196,0,0.0,196,true
s2g,size_512,512,98,98,0,0.0,98,true
s2g,size_8192,8192,296,296,0,0.0,296,true
