family,direction,case_id,bytes,v3_4_cycles,v3_5_cycles,delta_cycles,delta_percent,allowed_cycles,passed
bulk,g2s,r16_c16,1024,95,95,0,0.0,95,true
bulk,g2s,r1_c4,16,81,81,0,0.0,81,true
bulk,g2s,r32_c32,4096,156,156,0,0.0,156,true
bulk,g2s,r4_c16,256,83,83,0,0.0,83,true
bulk,g2s,r4_c4,64,81,81,0,0.0,81,true
bulk,s2g,r16_c16,1024,65,65,0,0.0,65,true
bulk,s2g,r1_c4,16,50,50,0,0.0,50,true
bulk,s2g,r32_c32,4096,143,143,0,0.0,143,true
bulk,s2g,r4_c16,256,52,52,0,0.0,52,true
bulk,s2g,r4_c4,64,50,50,0,0.0,50,true
bulk.tensor,g2s,r16_c16,1024,138,138,0,0.0,138,true
bulk.tensor,g2s,r1_c4,16,124,124,0,0.0,124,true
bulk.tensor,g2s,r32_c32,4096,199,199,0,0.0,199,true
bulk.tensor,g2s,r4_c16,256,126,126,0,0.0,126,true
bulk.tensor,g2s,r4_c4,64,124,124,0,0.0,124,true
bulk.tensor,s2g,r16_c16,1024,106,106,0,0.0,106,true
bulk.tensor,s2g,r1_c4,16,92,92,0,0.0,92,true
bulk.tensor,s2g,r32_c32,4096,184,184,0,0.0,184,true
bulk.tensor,s2g,r4_c16,256,94,94,0,0.0,94,true
bulk.tensor,s2g,r4_c4,64,92,92,0,0.0,92,true
