direction,case_id,bytes,v3_4_cycles,v3_5_cycles,delta_cycles,delta_percent,allowed_cycles,passed
g2s,oob_100,4096,145,145,0,0.0,148,true
g2s,oob_25,4096,190,192,2,1.0526,194,true
g2s,oob_50,4096,190,192,2,1.0526,194,true
g2s,rank1_contiguous,128,127,127,0,0.0,127,true
g2s,rank2_contiguous,4096,203,203,0,0.0,203,true
g2s,rank2_row_stride2,4096,203,203,0,0.0,203,true
g2s,rank3_contiguous,4096,204,204,0,0.0,204,true
g2s,rank4_contiguous,4096,205,205,0,0.0,205,true
g2s,rank5_contiguous,4096,206,206,0,0.0,206,true
g2s,tile_16x16,1024,142,142,0,0.0,142,true
g2s,tile_32x16,2048,165,165,0,0.0,165,true
g2s,tile_32x32,4096,203,203,0,0.0,203,true
g2s,tile_64x32,8192,279,279,0,0.0,279,true
g2s,tile_64x64,16384,411,411,0,0.0,411,true
roundtrip,interleave16,4096,373,373,0,0.0,373,true
roundtrip,interleave16_u16,4096,373,373,0,0.0,373,true
roundtrip,interleave32,4096,373,373,0,0.0,373,true
roundtrip,swizzle128,4096,371,371,0,0.0,371,true
roundtrip,swizzle32,4096,371,371,0,0.0,371,true
roundtrip,swizzle64,4096,371,371,0,0.0,371,true
roundtrip,tile_16x16,1024,249,231,-18,-7.2289,249,true
roundtrip,tile_32x16,2048,294,285,-9,-3.0612,294,true
roundtrip,tile_32x32,4096,382,371,-11,-2.8796,382,true
roundtrip,tile_64x32,8192,558,542,-16,-2.8674,558,true
roundtrip,tile_64x64,16384,882,864,-18,-2.0408,882,true
s2g,tile_16x16,1024,124,106,-18,-14.5161,124,true
s2g,tile_32x16,2048,146,137,-9,-6.1644,146,true
s2g,tile_32x32,4096,196,185,-11,-5.6122,196,true
s2g,tile_64x32,8192,296,280,-16,-5.4054,296,true
s2g,tile_64x64,16384,488,470,-18,-3.6885,488,true
